년도,대륙별,국가명,국가부호,,,년도,경제권별,국가명,국가부호
2012,아  시  아,아프카니스탄,AF,,,2012,E U,오스트리아,AT
2012,아  시  아,아르메니아,AM,,,2012,E U,벨기에,BE
2012,아  시  아,아제르바이잔,AZ,,,2012,E U,불가리아,BG
2012,아  시  아,방글라데시,BD,,,2012,E U,사이프러스,CY
2012,아  시  아,브루나이,BN,,,2012,E U,체코공화국,CZ
2012,아  시  아,부탄,BT,,,2012,E U,독일,DE
2012,아  시  아,중국,CN,,,2012,E U,덴마크,DK
2012,아  시  아,홍콩,HK,,,2012,E U,에스토니아,EE
2012,아  시  아,인도네시아,ID,,,2012,E U,스페인,ES
2012,아  시  아,인도,IN,,,2012,E U,핀란드,FI
2012,아  시  아,일본,JP,,,2012,E U,프랑스,FR
2012,아  시  아,키르기스,KG,,,2012,E U,영국,GB
2012,아  시  아,캄보디아,KH,,,2012,E U,그리스,GR
2012,아  시  아,북한,KP,,,2012,E U,헝가리,HU
2012,아  시  아,한국,KR,,,2012,E U,아일랜드,IE
2012,아  시  아,카자흐,KZ,,,2012,E U,이탈리아,IT
2012,아  시  아,라오스,LA,,,2012,E U,리투아니아,LT
2012,아  시  아,스리랑카,LK,,,2012,E U,룩셈부르그,LU
2012,아  시  아,미얀마,MM,,,2012,E U,라트비아,LV
2012,아  시  아,몽골,MN,,,2012,E U,몰타,MT
2012,아  시  아,마카오,MO,,,2012,E U,네덜란드,NL
2012,아  시  아,몰디브,MV,,,2012,E U,폴란드,PL
2012,아  시  아,말레이지아,MY,,,2012,E U,포루투갈,PT
2012,아  시  아,네팔,NP,,,2012,E U,루마니아,RO
2012,아  시  아,필리핀,PH,,,2012,E U,스웨덴,SE
2012,아  시  아,파키스탄,PK,,,2012,E U,슬로베니아,SI
2012,아  시  아,싱가포르,SG,,,2012,E U,슬로바키아,SK
2012,아  시  아,태국,TH,,,2012,O E C D,오스트리아,AT
2012,아  시  아,타지크,TJ,,,2012,O E C D,호주,AU
2012,아  시  아,티모르,TL,,,2012,O E C D,벨기에,BE
2012,아  시  아,투르크멘,TM,,,2012,O E C D,캐나다,CA
2012,아  시  아,대만,TW,,,2012,O E C D,스위스,CH
2012,아  시  아,우즈베크,UZ,,,2012,O E C D,체코공화국,CZ
2012,아  시  아,베트남,VN,,,2012,O E C D,독일,DE
2012,중      동,아랍에미리트 연합,AE,,,2012,O E C D,덴마크,DK
2012,중      동,바레인,BH,,,2012,O E C D,스페인,ES
2012,중      동,알제리,DZ,,,2012,O E C D,핀란드,FI
2012,중      동,이집트,EG,,,2012,O E C D,프랑스,FR
2012,중      동,이스라엘,IL,,,2012,O E C D,영국,GB
2012,중      동,이라크,IQ,,,2012,O E C D,그리스,GR
2012,중      동,이란,IR,,,2012,O E C D,헝가리,HU
2012,중      동,요르단,JO,,,2012,O E C D,아일랜드,IE
2012,중      동,쿠웨이트,KW,,,2012,O E C D,아이슬란드,IS
2012,중      동,레바논,LB,,,2012,O E C D,이탈리아,IT
2012,중      동,리비아,LY,,,2012,O E C D,일본,JP
2012,중      동,모로코,MA,,,2012,O E C D,한국,KR
2012,중      동,모리타니,MR,,,2012,O E C D,룩셈부르그,LU
2012,중      동,중립지대,NT,,,2012,O E C D,멕시코,MX
2012,중      동,오만,OM,,,2012,O E C D,네덜란드,NL
2012,중      동,카타르,QA,,,2012,O E C D,노르웨이,NO
2012,중      동,사우디아라비아,SA,,,2012,O E C D,뉴질랜드,NZ
2012,중      동,수단,SD,,,2012,O E C D,폴란드,PL
2012,중      동,시리아,SY,,,2012,O E C D,포루투갈,PT
2012,중      동,튀니지,TN,,,2012,O E C D,스웨덴,SE
2012,중      동,예맨,YE,,,2012,O E C D,슬로바키아,SK
2012,유      럽,안도라,AD,,,2012,O E C D,터키,TR
2012,유      럽,알바니아,AL,,,2012,O E C D,미국,US
2012,유      럽,오스트리아,AT,,,2012,C I S,아르메니아,AM
2012,유      럽,알랜드 군도,AX,,,2012,C I S,아제르바이잔,AZ
2012,유      럽,보스니아-헤르체고비나,BA,,,2012,C I S,베라루스,BY
2012,유      럽,벨기에,BE,,,2012,C I S,그루지아,GE
2012,유      럽,불가리아,BG,,,2012,C I S,키르기스,KG
2012,유      럽,베라루스,BY,,,2012,C I S,카자흐,KZ
2012,유      럽,스위스,CH,,,2012,C I S,몰도바,MD
2012,유      럽,사이프러스,CY,,,2012,C I S,러시아 연방,RU
